"_IDSKU (Não alterável)","_NomeSKU","_EANSKU","_CodigoReferenciaSKU","_IDProduto (Não alterável)","_NomeProduto (Obrigatório)","_ProdutoAtivo (Não alterável)","_CodigoReferenciaProduto","_LinkTexto (Não alterável)","_TituloSite","_IDFornecedor","_IDDepartamento (Não alterável)","_NomeDepartamento","_IDCategoria","_NomeCategoria","_IDMarca","_Lojas"
"10390","Verde","5060630047207","","1389700298","Escova para Desembaraçar Tangle Teezer Raquete Wet Detangler Green Jungle Verde","SIM","","escova-para-desembaracar-tangle-teezer-raquete-wet-detangler-green-jungle-verde","Escova para Desembaraçar Tangle Teezer Raquete Wet Detangler Green Jungle Verde","","4","Acessorios","24","Escovas e Pentes","2000083",""
"10391","Kit Perfume Giorgio Armani Sí Feminino Eau de Parfum 50 ml + Loção Corporal 75 ml","7899706202121","","1389700258","Kit Perfume Giorgio Armani Sí Feminino Eau de Parfum 50 ml + Loção Corporal 75 ml","SIM","","kit-perfume-giorgio-armani-si-feminino-eau-de-parfum-50-ml-locao-corporal-75-ml","Kit Perfume Giorgio Armani Sí Feminino Eau de Parfum 50 ml + Loção Corporal 75 ml","","3","Perfumes","85","Kits de Perfumes","2000024",""
"10392","Kit Perfume Giorgio Armani Sí Passione Feminino Eau de Toilette 50 ml + Loção Corporal 75 ml","7899706191074","","1389700259","Kit Perfume Giorgio Armani Sí Passione Feminino Eau de Toilette 50 ml + Loção Corporal 75 ml","SIM","","kit-perfume-giorgio-armani-si-passione-feminino-eau-de-toilette-50-ml-locao-corporal-75-ml","Kit Perfume Giorgio Armani Sí Passione Feminino Eau de Toilette 50 ml + Loção Corporal 75 ml","","3","Perfumes","85","Kits de Perfumes","2000024",""
"10393","Kit Perfume Giorgio Armani Acqua Di Gio Masculino Eau de Toilette 200 ml + Desodorante 150 ml","7899706239929","","1389700260","Kit Perfume Giorgio Armani Acqua Di Giò Masculino Eau de Toilette 200 ml + Desodorante 150 ml","SIM","","kit-perfume-giorgio-armani-acqua-di-gio-masculino-eau-de-toilette-200-ml-desodorante-150-ml","Kit Perfume Giorgio Armani Acqua Di Giò Masculino Eau de Toilette 200 ml + Desodorante 150 ml","","3","Perfumes","85","Kits de Perfumes","2000024",""
"10394","Kit Perfume Azzaro Pour Homme Masculino Eau de Toilette 100 ml + Perfume 50 ml","7899706218009","","1389700261","Kit Perfume Azzaro Pour Homme Masculino Eau de Toilette 100 ml + Perfume 50 ml","SIM","","kit-perfume-azzaro-pour-homme-masculino-eau-de-toilette-100-ml-perfume-azzaro-pour-homme-masculino-eau-de-toilette-50-ml","Kit Perfume Azzaro Pour Homme Masculino Eau de Toilette 100 ml + Perfume 50 ml","","3","Perfumes","85","Kits de Perfumes","2000005",""
"10395","Kit Perfume Yves Saint Laurent Y Masculino Eau de Parfum 100 ml + Gel Douche 50 ml + Pós Barba 50 ml","7899706202558","","1389700262","Kit Perfume Yves Saint Laurent Y Masculino Eau de Parfum 100 ml + Gel Douche 50 ml + Pós Barba 50 ml","SIM","","kit-perfume-yves-saint-laurent-y-masculino-eau-de-parfum-100-ml-gel-douche-50-ml-pos-barba-50-ml","Kit Perfume Yves Saint Laurent Y Masculino Eau de Parfum 100 ml + Gel Douche 50 ml + Pós Barba 50 ml","","3","Perfumes","85","Kits de Perfumes","2000072",""
"10396","Black Box Surpresa - Rica de Marré","1009980164","","1389700139","Black Box Surpresa - Rica de Marré","SIM","","black-box-surpresa-rica-de-marre","Black Box Surpresa - Rica de Marré","","1","Cabelos","80","Cronograma Capilar","2000119",""
"10397","Black Box Surpresa - Gabi Brandt","1009980165","","1389700135","Black Box Surpresa - Gabi Brandt","SIM","","black-box-surpresa-gabi-brandt","Black Box Surpresa - Gabi Brandt","","1","Cabelos","80","Cronograma Capilar","2000119",""
"10398","150 ml","3614226743916","","1389700265","Leave In Wella Professionals Invigo Sun 150 ml","SIM","","leave-in-wella-professionals-invigo-sun-150-ml","Leave In Wella Professionals Invigo Sun 150 ml","","1","Cabelos","13","Leave-in","3",""
"10399","185 ml","3614228295390","","1389700266","Tratamento de Brilho em Spray Wella Professionals Precolor Color Motion  185 ml","SIM","","tratamento-de-brilho-em-spray-wella-professionals-precolor-color-motion-185-ml","Tratamento de Brilho em Spray Wella Professionals Precolor Color Motion  185 ml","","1","Cabelos","15","Tratamento Especifico","3",""
