"_IDSKU (Não alterável)","_NomeSKU","_EANSKU","_CodigoReferenciaSKU","_IDProduto (Não alterável)","_NomeProduto (Obrigatório)","_ProdutoAtivo (Não alterável)","_CodigoReferenciaProduto","_LinkTexto (Não alterável)","_TituloSite","_IDFornecedor","_IDDepartamento (Não alterável)","_NomeDepartamento","_IDCategoria","_NomeCategoria","_IDMarca","_Lojas"
"21348","1 Preto","7896014168675","","94","Coloração L'Oréal Professionnel Majirel 1 Preto 50 g","SIM","","coloracao-loreal-professionnel-majirel-1-preto-50-g","Coloração L'Oréal Professionnel Majirel 1 Preto 50 g","","1","Cabelos","9","Coloracao","1","1, 2"
"1911","3 Castanho Escuro","7896014168682","","95","Coloração L'Oréal Professionnel Majirel 3 Castanho Escuro 50 g","SIM","","coloracao-loreal-professionnel-majirel-3-castanho-escuro-50-g","Coloração L'Oréal Professionnel Majirel 3 Castanho Escuro 50 g","","1","Cabelos","9","Coloracao","1",""
"0","4 Castanho","7896014168699","","96","Coloração L'Oréal Professionnel Majirel 4 Castanho 50 g","SIM","","coloracao-loreal-professionnel-majirel-4-castanho-50-g","Coloração L'Oréal Professionnel Majirel 4 Castanho 50 g","","1","Cabelos","9","Coloracao","1",""
"4","4.0 Castanho Natural Profundo","7896014168576","","97","Coloração L'Oréal Professionnel Majirel 4.0 Castanho Natural Profundo 50 g","SIM","","coloracao-loreal-professionnel-majirel-40-castanho-natural-profundo-50-g","Coloração L'Oréal Professionnel Majirel 4.0 Castanho Natural Profundo 50 g","","1","Cabelos","9","Coloracao","1",""
"5","4.3 Castanho Dourado","7896014168958","","98","Coloração L'Oréal Professionnel Majirel 4.3 Castanho Dourado 50 g","NÃO","","coloracao-loreal-professionnel-majirel-43-castanho-dourado-50-g","Coloração L'Oréal Professionnel Majirel 4.3 Castanho Dourado 50 g","","1","Cabelos","9","Coloracao","1",""
"6","4.42 Castanho Acobreado Irisado","7896014168965","","99","Coloração L'Oréal Professionnel Majirel 4.42 Castanho Acobreado Irisado 50 g","SIM","","coloracao-loreal-professionnel-majirel-442-castanho-acobreado-irisado-50-g","Coloração L'Oréal Professionnel Majirel 4.42 Castanho Acobreado Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"7","4.56 Castanho Acaju Vermelho","3474636531936","","100","Coloração L'Oréal Professionnel Majirel 4.56 Castanho Acaju Vermelho 50 g","SIM","","coloracao-loreal-professionnel-majirel-456-castanho-acaju-vermelho-50-g","Coloração L'Oréal Professionnel Majirel 4.56 Castanho Acaju Vermelho 50 g","","1","Cabelos","9","Coloracao","1",""
"8","C4.60 Castanho Claro Irisado Intenso","3474636333189","","191","Coloração L'Oréal Professionnel Majirouge Carmilane C4.60 Castanho Claro Irisado Intenso 50 g","NÃO","","coloracao-loreal-professionnel-majirouge-carmilane-c460-castanho-claro-irisado-intenso-50-g","Coloração L'Oréal Professionnel Majirouge Carmilane C4.60 Castanho Claro Irisado Intenso 50 g","","1","Cabelos","9","Coloracao","1",""
"9","4.62 Castanho Vermelho Irisado","3474636333134","","101","Coloração L'Oréal Professionnel Majirel 4.62 Castanho Vermelho Irisado 50 g","NÃO","","coloracao-loreal-professionnel-majirel-462-castanho-vermelho-irisado-50-g","Coloração L'Oréal Professionnel Majirel 4.62 Castanho Vermelho Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"10","5 Castanho Claro","7896014168712","","102","Coloração L'Oréal Professionnel Majirel 5 Castanho Claro 50 g","SIM","","coloracao-loreal-professionnel-majirel-5-castanho-claro-50-g","Coloração L'Oréal Professionnel Majirel 5 Castanho Claro 50 g","","1","Cabelos","9","Coloracao","1",""
"11","Pack Coloração L'Oréal Professionnel Majirel 5 Castanho Claro + Ox 20 Volumes","7899706168267","","656","Pack Coloração L'Oréal Professionnel Majirel 5 Castanho Claro + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-5-castanho-claro-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 5 Castanho Claro + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"12","5.0 Castanho Claro Natural Profundo","7896014168583","","103","Coloração L'Oréal Professionnel Majirel 5.0 Castanho Claro Natural Profundo 50 g","SIM","","coloracao-loreal-professionnel-majirel-50-castanho-claro-natural-profundo-50-g","Coloração L'Oréal Professionnel Majirel 5.0 Castanho Claro Natural Profundo 50 g","","1","Cabelos","9","Coloracao","1",""
"13","5.1 Castanho Claro Acinzentado","7896014168729","","104","Coloração L'Oréal Professionnel Majirel 5.1 Castanho Claro Acinzentado 50 g","SIM","","coloracao-loreal-professionnel-majirel-51-castanho-claro-acinzentado-50-g","Coloração L'Oréal Professionnel Majirel 5.1 Castanho Claro Acinzentado 50 g","","1","Cabelos","9","Coloracao","1",""
"14","5.11 Castanho Claro Acinzentado Intenso","7896014168736","","105","Coloração L'Oréal Professionnel Majirel 5.11 Castanho Claro Acinzentado Intenso 50 g","SIM","","coloracao-loreal-professionnel-majirel-511-castanho-claro-acinzentado-intenso-50-g","Coloração L'Oréal Professional Majirel 5.11 | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"15","C5.20 Castanho Claro Irisado Intenso","7896014168521","","192","Coloração L'Oréal Professionnel Majirouge Carmilane C5.20 Castanho Claro Irisado Intenso 50 g","NÃO","","coloracao-loreal-professionnel-majirouge-carmilane-c520-castanho-claro-irisado-intenso-50-g","Coloração L'Oréal Professionnel Majirouge Carmilane C5.20 Castanho Claro Irisado Intenso 50 g","","1","Cabelos","9","Coloracao","1",""
"16","5.3 Castanho Claro Dourado","7896014168996","","106","Coloração L'Oréal Professionnel Majirel 5.3 Castanho Claro Dourado 50 g","SIM","","coloracao-loreal-professionnel-majirel-53-castanho-claro-dourado-50-g","Coloração L'Oréal Professional Majirel 5.3  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"17","5.31 Castanho Claro Dourado Acinzentado","7896014169009","","107","Coloração L'Oréal Professionnel Majirel 5.31 Castanho Claro Dourado Acinzentado 50 g","NÃO","","coloracao-loreal-professionnel-majirel-531-castanho-claro-dourado-acinzentado-50-g","Coloração L'Oréal Professionnel Majirel 5.31 Castanho Claro Dourado Acinzentado 50 g","","1","Cabelos","9","Coloracao","1",""
"18","5.32 Castanho Claro Dourado Irisado","7896014169269","","108","Coloração L'Oréal Professionnel Majirel 5.32 Castanho Claro Dourado Irisado 50 g","NÃO","","coloracao-loreal-professionnel-majirel-532-castanho-claro-dourado-irisado-50-g","Coloração L'Oréal Professionnel Majirel 5.32 Castanho Claro Dourado Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"19","5.5 Castanho Claro Acaju","7896014169023","","109","Coloração L'Oréal Professionnel Majirel 5.5 Castanho Claro Acaju 50 g","SIM","","coloracao-loreal-professionnel-majirel-55-castanho-claro-acaju-50-g","Coloração L'Oréal Professional Majirel 5.5  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"20","5.52 Castanho Claro Acaju Irisado","7896014169030","","110","Coloração L'Oréal Professionnel Majirel 5.52 Castanho Claro Acaju Irisado 50 g","NÃO","","coloracao-loreal-professionnel-majirel-552-castanho-claro-acaju-irisado-50-g","Coloração L'Oréal Professionnel Majirel 5.52 Castanho Claro Acaju Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"21","5.62 Castanho Claro Vermelho Irisado","7896014168514","","111","Coloração L'Oréal Professionnel Majirel 5.62 Castanho Claro Vermelho Irisado 50 g","SIM","","coloracao-loreal-professionnel-majirel-562-castanho-claro-vermelho-irisado-50-g","Coloração L'Oréal Professional Majirel 5.62  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"22","6 Louro Escuro","7896014168743","","112","Coloração L'Oréal Professionnel Majirel 6 Louro Escuro 50 g","SIM","","coloracao-loreal-professionnel-majirel-6-louro-escuro-50-g","Coloração L'Oréal Professional Majirel 6  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"23","Pack Coloração L'Oréal Professionnel Majirel 6 Louro Escuro + Ox 20 Volumes","7899706191586","","657","Pack Coloração L'Oréal Professionnel Majirel 6 Louro Escuro + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-6-louro-escuro-ox-20-volumes","Pack L'Oréal Professional Majirel 6 + OX 20v  | AMOBELEZA","","1","Cabelos","80","Cronograma Capilar","1",""
"24","6.0 Louro Escuro Natural Profundo","7896014168590","","113","Coloração L'Oréal Professionnel Majirel 6.0 Louro Escuro Natural Profundo 50 g","SIM","","coloracao-loreal-professionnel-majirel-60-louro-escuro-natural-profundo-50-g","Coloração L'Oréal Professional Majirel 6.0  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"25","Pack Coloração L'Oréal Professionnel Majirel 6.0 Louro Escuro Natural Profundo + Ox 20 Volumes","7899706168403","","658","Pack Coloração L'Oréal Professionnel Majirel 6.0 Louro Escuro Natural Profundo + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-6-0-louro-escuro-natural-profundo-ox-20-volumes","Pack L'Oréal Professional Majirel 6.0 + OX 20v | AMOBELEZA","","1","Cabelos","80","Cronograma Capilar","1",""
"26","6.07 Louro Escuro Natural Mate","7896014168644","","114","Coloração L'Oréal Professionnel Majirel 6.07 Louro Escuro Natural Mate 50 g","SIM","","coloracao-loreal-professionnel-majirel-607-louro-escuro-natural-mate-50-g","Coloração L'Oréal Professional Majirel 6.07  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"27","6.1 Louro Escuro Acinzentado","7896014168750","","115","Coloração L'Oréal Professionnel Majirel 6.1 Louro Escuro Acinzentado 50 g","SIM","","coloracao-loreal-professionnel-majirel-61-louro-escuro-acinzentado-50-g","Coloração L'Oréal Professional Majirel 6.1  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"28","6.11 Louro Escuro Acinzentado Intenso","7896014168767","","116","Coloração L'Oréal Professionnel Majirel 6.11 Louro Escuro Acinzentado Intenso 50 g","SIM","","coloracao-loreal-professionnel-majirel-611-louro-escuro-acinzentado-intenso-50-g","Coloração L'Oréal Professional Majirel 6.11  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"29","6.13 Louro Escuro Acinzentado Dourado","7896014176397","","117","Coloração L'Oréal Professionnel Majirel 6.13 Louro Escuro Acinzentado Dourado 50 g","SIM","","coloracao-loreal-professionnel-majirel-613-louro-escuro-acinzentado-dourado-50-g","Coloração L'Oréal Professional Majirel 6.13  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"30","6.23 Louro Escuro Irisado Dourado","7896014168941","","118","Coloração L'Oréal Professionnel Majirel 6.23 Louro Escuro Irisado Dourado 50 g","SIM","","coloracao-loreal-professionnel-majirel-623-louro-escuro-irisado-dourado-50-g","Coloração L'Oréal Professional Majirel 6.23  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"31","6.3 Louro Escuro Dourado","7896014169054","","119","Coloração L'Oréal Professionnel Majirel 6.3 Louro Escuro Dourado 50 g","SIM","","coloracao-loreal-professionnel-majirel-63-louro-escuro-dourado-50-g","Coloração L'Oréal Professional Majirel 6.3  | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"32","6.32 Louro Escuro Dourado Irisado","7896014169276","","120","Coloração L'Oréal Professionnel Majirel 6.32 Louro Escuro Dourado Irisado 50 g","SIM","","coloracao-loreal-professionnel-majirel-632-louro-escuro-dourado-irisado-50-g","Coloração L'Oréal Professionnel Majirel 6.32 Louro Escuro Dourado Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"33","6.34 Louro Escuro Dourado Acobreado","7896014169061","","121","Coloração L'Oréal Professionnel Majirel 6.34 Louro Escuro Dourado Acobreado 50 g","SIM","","coloracao-loreal-professionnel-majirel-634-louro-escuro-dourado-acobreado-50-g","Coloração L'Oréal Professionnel Majirel 6.34 Louro Escuro Dourado Acobreado 50 g","","1","Cabelos","9","Coloracao","1",""
"34","6.35 Louro Escuro Dourado Acaju","7896014169078","","122","Coloração L'Oréal Professionnel Majirel 6.35 Louro Escuro Dourado Acaju 50 g","SIM","","coloracao-loreal-professionnel-majirel-635-louro-escuro-dourado-acaju-50-g","Coloração L'Oréal Professionnel Majirel 6.35 Louro Escuro Dourado Acaju 50 g","","1","Cabelos","9","Coloracao","1",""
"35","6.40 Louro Escuro Acobreado Intenso","3474636333141","","194","Coloração L'Oréal Professionnel Majirouge Rubilane 6.40 Louro Escuro Acobreado Intenso 50 g","NÃO","","coloracao-loreal-professionnel-majirouge-rubilane-640-louro-escuro-acobreado-intenso-50-g","Coloração L'Oréal Professionnel Majirouge Rubilane 6.40 Louro Escuro Acobreado Intenso 50 g","","1","Cabelos","9","Coloracao","1",""
"36","6.41 Louro Escuro Acobreado Acinzentado","7896014169085","","123","Coloração L'Oréal Professionnel Majirel 6.41 Louro Escuro Acobreado Acinzentado 50 g","SIM","","coloracao-loreal-professionnel-majirel-641-louro-escuro-acobreado-acinzentado-50-g","Coloração L'Oréal Professionnel Majirel 6.41 Louro Escuro Acobreado Acinzentado 50 g","","1","Cabelos","9","Coloracao","1",""
"37","6.45 Louro Escuro Acobreado Acaju","3474636531905","","124","Coloração L'Oréal Professionnel Majirel 6.45 Louro Escuro Acobreado Acaju 50 g","SIM","","coloracao-loreal-professionnel-majirel-645-louro-escuro-acobreado-acaju-50-g","Coloração L'Oréal Professionnel Majirel 6.45 Louro Escuro Acobreado Acaju 50 g","","1","Cabelos","9","Coloracao","1",""
"38","6.46 Louro Escuro Acobreado Vermelho","3474636531943","","125","Coloração L'Oréal Professionnel Majirel 6.46 Louro Escuro Acobreado Vermelho 50 g","SIM","","coloracao-loreal-professionnel-majirel-646-louro-escuro-acobreado-vermelho-50-g","Coloração L'Oréal Professionnel Majirel 6.46 Louro Escuro Acobreado Vermelho 50 g","","1","Cabelos","9","Coloracao","1",""
"39","6.52 Louro Escuro Acaju Irisado","7896014169115","","126","Coloração L'Oréal Professionnel Majirel 6.52 Louro Escuro Acaju Irisado 50 g","NÃO","","coloracao-loreal-professionnel-majirel-652-louro-escuro-acaju-irisado-50-g","Coloração L'Oréal Professionnel Majirel 6.52 Louro Escuro Acaju Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"40","6.6 Louro Escuro Vermelho","7896014169122","","127","Coloração L'Oréal Professionnel Majirel 6.6 Louro Escuro Vermelho 50 g","NÃO","","coloracao-loreal-professionnel-majirel-66-louro-escuro-vermelho-50-g","Coloração L'Oréal Professionnel Majirel 6.6 Louro Escuro Vermelho 50 g","","1","Cabelos","9","Coloracao","1",""
"41","6.62 Louro Escuro Vermelho Irizado","7896014169139","","128","Coloração L'Oréal Professionnel Majirel 6.62 Louro Escuro Vermelho Irizado 50 g","SIM","","coloracao-loreal-professionnel-majirel-662-louro-escuro-vermelho-irizado-50-g","Coloração L'Oréal Professionnel Majirel 6.62 Louro Escuro Vermelho Irizado 50 g","","1","Cabelos","9","Coloracao","1",""
"42","6.66 Louro Escuro Vermelho Intenso","7896014168552","","129","Coloração L'Oréal Professionnel Majirel 6.66 Louro Escuro Vermelho Intenso 50 g","SIM","","coloracao-loreal-professionnel-majirel-666-louro-escuro-vermelho-intenso-50-g","Coloração L'Oréal Professionnel Majirel 6.66 Louro Escuro Vermelho Intenso 50 g","","1","Cabelos","9","Coloracao","1",""
"43","6.8 Louro Escuro Marrom","7899026479425","","130","Coloração L'Oréal Professionnel Majirel 6.8 Louro Escuro Marrom 50 g","SIM","","coloracao-loreal-professionnel-majirel-68-louro-escuro-marrom-50-g","Coloração L'Oréal Professionnel Majirel 6.8 Louro Escuro Marrom 50 g","","1","Cabelos","9","Coloracao","1",""
"44","7 Louro","7896014168774","","131","Coloração L'Oréal Professionnel Majirel 7 Louro 50 g","SIM","","coloracao-loreal-professionnel-majirel-7-louro-50-g","Coloração L'Oréal Professionnel Majirel 7 Louro 50 g","","1","Cabelos","9","Coloracao","1",""
"45","Pack Coloração L'Oréal Professionnel Majirel 7 Louro + Ox 20 Volumes","7899706191548","","659","Pack Coloração L'Oréal Professionnel Majirel 7 Louro + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-7-louro-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 7 Louro + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"46","7.0 Louro Natural Profundo","7896014168606","","132","Coloração L'Oréal Professionnel Majirel 7.0 Louro Natural Profundo 50 g","SIM","","coloracao-loreal-professionnel-majirel-70-louro-natural-profundo-50-g","Coloração L'Oréal Professionnel Majirel 7.0 Louro Natural Profundo 50 g","","1","Cabelos","9","Coloracao","1",""
"47","Pack Coloração L'Oréal Professionnel Majirel 7.0 Louro Natural Profundo + Ox 20 Volumes","7899706168380","","660","Pack Coloração L'Oréal Professionnel Majirel 7.0 Louro Natural Profundo + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-7-0-louro-natural-profundo-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 7.0 Louro Natural Profundo + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"48","7.07 Louro Natural Mate","7896014168651","","133","Coloração L'Oréal Professionnel Majirel 7.07 Louro Natural Mate 50 g","SIM","","coloracao-loreal-professionnel-majirel-707-louro-natural-mate-50-g","Coloração L'Oréal Professionnel Majirel 7.07 Louro Natural Mate 50 g","","1","Cabelos","9","Coloracao","1",""
"49","7.1 Louro Acinzentado","7896014168781","","134","Coloração L'Oréal Professionnel Majirel 7.1 Louro Acinzentado 50 g","SIM","","coloracao-loreal-professionnel-majirel-71-louro-acinzentado-50-g","Coloração L'Oréal Professionnel Majirel 7.1 Louro Acinzentado 50 g","","1","Cabelos","9","Coloracao","1",""
"50","Pack Coloração L'Oréal Professionnel Majirel 7.1 Louro Acinzentado + Ox 20 Volumes","7899706178792","","661","Pack Coloração L'Oréal Professionnel Majirel 7.1 Louro Acinzentado + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-7-1-louro-acinzentado-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 7.1 Louro Acinzentado + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"51","7.11 Louro Acinzentado Intenso","7896014168798","","135","Coloração L'Oréal Professionnel Majirel 7.11 Louro Acinzentado Intenso 50 g","SIM","","coloracao-loreal-professionnel-majirel-711-louro-acinzentado-intenso-50-g","Coloração L'Oréal Professionnel Majirel 7.11 Louro Acinzentado Intenso 50 g","","1","Cabelos","9","Coloracao","1",""
"52","7.13 Louro Acinzentado Dourado","7896014176403","","136","Coloração L'Oréal Professionnel Majirel 7.13 Louro Acinzentado Dourado 50 g","SIM","","coloracao-loreal-professionnel-majirel-713-louro-acinzentado-dourado-50-g","Coloração L'Oréal Professionnel Majirel 7.13 Louro Acinzentado Dourado 50 g","","1","Cabelos","9","Coloracao","1",""
"53","7.23 Louro Irisado Dourado","7896014168927","","137","Coloração L'Oréal Professionnel Majirel 7.23 Louro Irisado Dourado 50 g","SIM","","coloracao-loreal-professionnel-majirel-723-louro-irisado-dourado-50-g","Coloração L'Oréal Professionnel Majirel 7.23 Louro Irisado Dourado 50 g","","1","Cabelos","9","Coloracao","1",""
"54","7.3 Louro Dourado","7896014169146","","138","Coloração L'Oréal Professionnel Majirel 7.3 Louro Dourado 50 g","SIM","","coloracao-loreal-professionnel-majirel-73-louro-dourado-50-g","Coloração L'Oréal Professionnel Majirel 7.3 Louro Dourado 50 g","","1","Cabelos","9","Coloracao","1",""
"55","7.31 Louro Dourado Acinzentado","7896014169153","","139","Coloração L'Oréal Professionnel Majirel 7.31 Louro Dourado Acinzentado 50 g","SIM","","coloracao-loreal-professionnel-majirel-731-louro-dourado-acinzentado-50-g","Coloração L'Oréal Professionnel Majirel 7.31 Louro Dourado Acinzentado 50 g","","1","Cabelos","9","Coloracao","1",""
"56","7.35 Louro Dourado Acaju","3474636531912","","140","Coloração L'Oréal Professionnel Majirel 7.35 Louro Dourado Acaju 50 g","SIM","","coloracao-loreal-professionnel-majirel-735-louro-dourado-acaju-50-g","Coloração L'Oréal Professionnel Majirel 7.35 Louro Dourado Acaju 50 g","","1","Cabelos","9","Coloracao","1",""
"57","7.4 Louro Acobreado","7896014169177","","141","Coloração L'Oréal Professionnel Majirel 7.4 Louro Acobreado 50 g","SIM","","coloracao-loreal-professionnel-majirel-74-louro-acobreado-50-g","Coloração L'Oréal Professionnel Majirel 7.4 Louro Acobreado 50 g","","1","Cabelos","9","Coloracao","1",""
"58","Pack Coloração L'Oréal Professionnel Majirel 7.4 Louro Acobreado + Ox 20 Volumes","7899706178778","","662","Pack Coloração L'Oréal Professionnel Majirel 7.4 Louro Acobreado + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-7-4-louro-acobreado-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 7.4 Louro Acobreado + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"59","C7.64 Louro Vermelho Acobreado","3474636333103","","193","Coloração L'Oréal Professionnel Majirouge Carmilane C7.64 Louro Vermelho Acobreado 50 g","NÃO","","coloracao-loreal-professionnel-majirouge-carmilane-c764-louro-vermelho-acobreado-50-g","Coloração L'Oréal Professionnel Majirouge Carmilane C7.64 Louro Vermelho Acobreado 50 g","","1","Cabelos","9","Coloracao","1",""
"60","7.8 Louro Marrom","7899026479432","","142","Coloração L'Oréal Professionnel Majirel 7.8 Louro Marrom 50 g","SIM","","coloracao-loreal-professionnel-majirel-78-louro-marrom-50-g","Coloração L'Oréal Professionnel Majirel 7.8 Louro Marrom 50 g","","1","Cabelos","9","Coloracao","1",""
"61","8 Louro Claro","7896014168811","","143","Coloração L'Oréal Professionnel Majirel 8 Louro Claro 50 g","SIM","","coloracao-loreal-professionnel-majirel-8-louro-claro-50-g","Coloração L'Oréal Professionnel Majirel 8 Louro Claro 50 g","","1","Cabelos","9","Coloracao","1",""
"62","Pack Coloração L'Oréal Professionnel Majirel 8 Louro Claro + Ox 20 Volumes","7899706191647","","663","Pack Coloração L'Oréal Professionnel Majirel 8 Louro Claro + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-8-louro-claro-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 8 Louro Claro + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"63","8.0 Louro Claro Profundo","7896014168613","","144","Coloração L'Oréal Professionnel Majirel 8.0 Louro Claro Profundo 50 g","SIM","","coloracao-loreal-professionnel-majirel-80-louro-claro-profundo-50-g","Coloração L'Oréal Professionnel Majirel 8.0 Louro Claro Profundo 50 g","","1","Cabelos","9","Coloracao","1",""
"64","Pack Coloração L'Oréal Professionnel Majirel 8.0 Louro Claro Profundo + Ox 20 Volumes","7899706168366","","664","Pack Coloração L'Oréal Professionnel Majirel 8.0 Louro Claro Profundo + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-8-0-louro-claro-profundo-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 8.0 Louro Claro Profundo + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"65","8.1 Louro Claro Acinzentado","7896014168828","","145","Coloração L'Oréal Professionnel Majirel 8.1 Louro Claro Acinzentado 50 g","SIM","","coloracao-loreal-professionnel-majirel-81-louro-claro-acinzentado-50-g","Coloração L'Oréal Professionnel Majirel 8.1 Louro Claro Acinzentado 50 g","","1","Cabelos","9","Coloracao","1",""
"66","Pack Coloração L'Oréal Professionnel Majirel 8.1 Louro Claro Acinzentado + Ox 20 Volumes","7899706178815","","665","Pack Coloração L'Oréal Professionnel Majirel 8.1 Louro Claro Acinzentado + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-8-1-louro-claro-acinzentado-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 8.1 Louro Claro Acinzentado + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"67","8.11 Louro Claro Acinzentado Intenso","7896014168835","","146","Coloração L'Oréal Professionnel Majirel 8.11 Louro Claro Acinzentado Intenso 50 g","NÃO","","coloracao-loreal-professionnel-majirel-811-louro-claro-acinzentado-intenso-50-g","Coloração L'Oréal Professionnel Majirel 8.11 Louro Claro Acinzentado Intenso 50 g","","1","Cabelos","9","Coloracao","1",""
"68","8.12 Louro Claro Acinzentado Irisado","7899026439269","","147","Coloração L'Oréal Professionnel Majirel 8.12 Louro Claro Acinzentado Irisado 50 g","SIM","","coloracao-loreal-professionnel-majirel-812-louro-claro-acinzentado-irisado-50-g","Coloração L'Oréal Professionnel Majirel 8.12 Louro Claro Acinzentado Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"69","8.2 Louro Claro Irisado","7896014168934","","148","Coloração L'Oréal Professionnel Majirel 8.2 Louro Claro Irisado 50 g","SIM","","coloracao-loreal-professionnel-majirel-82-louro-claro-irisado-50-g","Coloração L'Oréal Professionnel Majirel 8.2 Louro Claro Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"70","8.3 Louro Claro Dourado","7896014169191","","149","Coloração L'Oréal Professionnel Majirel 8.3 Louro Claro Dourado 50 g","SIM","","coloracao-loreal-professionnel-majirel-83-louro-claro-dourado-50-g","Coloração L'Oréal Professionnel Majirel 8.3 Louro Claro Dourado 50 g","","1","Cabelos","9","Coloracao","1",""
"71","8.31 Louro Claro Dourado Acinzentado","7896014169214","","150","Coloração L'Oréal Professionnel Majirel 8.31 Louro Claro Dourado Acinzentado 50 g","SIM","","coloracao-loreal-professionnel-majirel-831-louro-claro-dourado-acinzentado-50-g","Coloração L'Oréal Professionnel Majirel 8.31 Louro Claro Dourado Acinzentado 50 g","","1","Cabelos","9","Coloracao","1",""
"72","8.34 Louro Claro Dourado Acobreado","7896014169221","","151","Coloração L'Oréal Professionnel Majirel 8.34 Louro Claro Dourado Acobreado 50 g","SIM","","coloracao-loreal-professionnel-majirel-834-louro-claro-dourado-acobreado-50-g","Coloração L'Oréal Professionnel Majirel 8.34 Louro Claro Dourado Acobreado 50 g","","1","Cabelos","9","Coloracao","1",""
"73","8.43 Louro Claro Acobreado Dourado","3474636333165","","195","Coloração L'Oréal Professionnel Majirouge Rubilane 8.43 Louro Claro Acobreado Dourado 50 g","NÃO","","coloracao-loreal-professionnel-majirouge-rubilane-843-louro-claro-acobreado-dourado-50-g","Coloração L'Oréal Professionnel Majirouge Rubilane 8.43 Louro Claro Acobreado Dourado 50 g","","1","Cabelos","9","Coloracao","1",""
"74","8.8 Louro Claro Marrom","7899706117890","","152","Coloração L'Oréal Professionnel Majirel 8.8 Louro Claro Marrom 50 g","NÃO","","coloracao-loreal-professionnel-majirel-88-louro-claro-marrom-50-g","Coloração L'Oréal Professionnel Majirel 8.8 Louro Claro Marrom 50 g","","1","Cabelos","9","Coloracao","1",""
"75","9 Louro Muito Claro","7896014168842","","153","Coloração L'Oréal Professionnel Majirel 9 Louro Muito Claro 50 g","SIM","","coloracao-loreal-professionnel-majirel-9-louro-muito-claro-50-g","Coloração L'Oréal Professionnel Majirel 9 Louro Muito Claro 50 g","","1","Cabelos","9","Coloracao","1",""
"76","Pack Coloração L'Oréal Professionnel Majirel 9 Louro Muito Claro + Ox 20 Volumes","7899706168182","","666","Pack Coloração L'Oréal Professionnel Majirel 9 Louro Muito Claro + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-9-louro-muito-claro-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 9 Louro Muito Claro + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
